_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6a1c2de272016ea84dcfb4a0,false,46.56,94.81,46.56,67.96,128;0;0;0,words,25,-1,0,32.99,0,0,false,false,english,,normal,false,false,false,,1780231650000
6a1c2dac72016ea84dcfb335,false,40.46,89.51,40.46,55.75,123;0;0;0,words,25,-1,0,36.48,0,0,false,false,english,,normal,false,false,false,,1780231596000
6a1c2d6572016ea84dcfb111,false,54.53,99.21,54.53,78.89,125;0;0;0,words,25,-1,0,27.51,0,0,false,false,english,,normal,false,false,false,,1780231525000
6a1c2d3772016ea84dcfafaa,false,50.94,96.98,50.94,71.49,255;0;0;0,words,50,-1,0,60.07,0,0,false,false,english,,normal,false,false,false,,1780231479000
6a1c2a6e72016ea84dcf99dd,false,47.58,93.33,47.58,63.86,55;0;0;0,words,10,-1,0,13.87,0,0,false,false,english,,normal,false,false,false,,1780230766000
6a1c2a5e72016ea84dcf996f,false,45.96,94.83,45.96,71.65,55;0;0;0,words,10,-1,0,14.36,0,0,false,false,english,,normal,false,false,false,,1780230750000
6a1c2a4e72016ea84dcf98f6,false,45.59,90.32,45.59,73.22,56;0;0;0,words,10,-1,0,14.74,0,0,false,false,english,,normal,false,false,false,,1780230734000
6a1a61da1281484724c48d41,false,36.62,87.27,36.62,45.48,48;0;0;0,words,10,-1,0,15.73,0,0,false,false,english,,normal,false,false,false,,1780113882000
6a172568655b2abc62c591f4,false,51.77,96.15,51.77,56.54,50;0;0;0,words,10,-1,0,11.59,0,0,false,false,english,,normal,false,false,false,,1779901800000
6a17255b655b2abc62c59161,false,48.6,93.62,48.6,76.7,44;0;0;0,words,10,-1,0,10.86,0,0,false,false,english,,normal,false,false,false,,1779901787000
6a17254f655b2abc62c590d4,false,47.79,88.52,47.79,58.78,53;0;0;0,words,10,-1,0,13.31,0,0,false,false,english,,normal,false,false,false,,1779901775000
6a172540655b2abc62c5902f,false,58.56,98,58.56,75.18,48;0;0;0,words,10,-1,0,9.84,0,0,false,false,english,,normal,false,false,false,,1779901760000
6a172535655b2abc62c58f9c,false,51.51,95.83,51.51,72.52,46;0;0;0,words,10,-1,0,10.72,0,0,false,false,english,,normal,false,false,false,,1779901749000
6a172528655b2abc62c58ef6,false,64.44,100,64.44,80.44,56;0;0;0,words,10,-1,0,10.43,0,0,false,false,english,,normal,false,false,false,,1779901736000
6a171d8b655b2abc62c53797,false,54.18,99.21,54.18,67.41,126;0;0;0,words,25,-1,0,27.91,0,0,false,false,english,,normal,false,false,false,,1779899787000
6a171d3d655b2abc62c533c7,false,50.66,98.39,50.66,66.26,122;0;0;0,words,25,-1,0,28.9,1,0,false,false,english,,normal,false,false,false,,1779899709000
6a171d18655b2abc62c531e4,false,49.08,97.83,49.08,68.09,134;0;0;0,words,25,-1,0,32.76,0,0,false,false,english,,normal,false,false,false,,1779899672000
6a171cf4655b2abc62c53022,false,37.56,88.13,37.56,52.59,141;0;0;0,words,25,-1,0,45.04,0,0,false,false,english,,normal,false,false,false,,1779899636000
6a159a56655b2abc62b79171,false,56.4,97.86,56.4,72.71,137;0;0;0,words,25,-1,0,29.15,0,0,false,false,english,,normal,false,false,false,,1779800662000
6a1599e1655b2abc62b78cc5,false,49.85,98.39,49.85,66.52,121;0;0;0,words,25,-1,0,29.13,0,0,false,false,english,,normal,false,false,false,,1779800545000
6a15995a655b2abc62b78736,false,50.42,95.77,50.42,66.87,134;0;0;0,words,25,-1,0,31.89,0,0,false,false,english,,normal,false,false,false,,1779800410000
6a158604655b2abc62b6bf0b,false,50.18,95.26,50.18,69.24,521;0;0;0,words,100,-1,0,124.58,0,0,false,false,english,,normal,false,false,false,,1779795460000
6a157faa655b2abc62b67e8f,false,51.41,97.58,51.41,69.77,525;0;0;0,words,100,-1,0,122.54,1,0,false,false,english,,normal,false,false,false,,1779793834000
6a157eb2655b2abc62b6755f,false,49.33,97.73,49.33,67.16,513;0;0;0,words,100,-1,0,124.78,1,0,false,false,english,,normal,false,false,false,,1779793586000
6a157457655b2abc62b614d0,false,50.64,95.84,50.64,68.78,530;0;0;0,words,100,-1,0,125.6,1,0,false,false,english,,normal,false,false,false,,1779790935000
6a1573d7655b2abc62b60fcf,false,45.76,95.09,45.76,66.17,499;0;0;0,words,100,-1,0,130.85,0,0,false,false,english,,normal,false,false,false,,1779790807000
6a1571bc655b2abc62b5fb74,false,48.55,95.19,48.55,65.78,509;0;0;0,words,100,-1,0,125.8,0,0,false,false,english,,normal,false,false,false,,1779790268000
6a157133655b2abc62b5f629,false,53.86,98.22,53.86,73.5,275;0;0;0,words,50,-1,0,61.27,0,0,false,false,english,,normal,false,false,false,,1779790131000
6a156f2e655b2abc62b5e23a,false,33.98,87.72,33.98,36.31,50;0;0;0,words,10,-1,0,17.66,1,0,false,false,english,,normal,false,false,false,,1779789614000
6a156f1a655b2abc62b5e149,false,59.71,96.43,59.71,61.22,52;0;0;0,words,10,-1,0,10.45,0,0,false,false,english,,normal,false,false,false,,1779789594000
6a156f0e655b2abc62b5e0ca,false,58.25,100,58.25,71.98,53;0;0;0,words,10,-1,0,10.92,0,0,false,false,english,,normal,false,false,false,,1779789582000
6a156ebe655b2abc62b5dde3,false,40.54,93.88,40.54,61.97,46;0;0;0,words,10,-1,0,13.62,0,0,false,false,english,,normal,false,false,false,,1779789502000
6a156ea9655b2abc62b5dd0f,false,60.58,98.11,60.58,69.58,52;0;0;0,words,10,-1,0,10.3,0,0,false,false,english,,normal,false,false,false,,1779789481000
6a156e9a655b2abc62b5dc82,false,56.19,98,56.19,63.24,48;0;0;0,words,10,-1,0,10.25,0,0,false,false,english,,normal,false,false,false,,1779789466000
6a156e8e655b2abc62b5dc0a,false,39.63,90.74,43.94,49.76,46;1;0;0,words,10,-1,0,13.93,1,0,false,false,english,,normal,false,false,false,,1779789454000
6a156e7e655b2abc62b5db54,false,57.13,93.88,57.13,71.63,46;0;0;0,words,10,-1,0,9.66,0,0,false,false,english,,normal,false,false,false,,1779789438000
6a153a1c655b2abc62b3f5c8,false,62.58,98,62.58,71.72,49;0;0;0,words,10,-1,0,9.4,0,0,false,false,english,,normal,false,false,false,,1779776028000
6a153a10655b2abc62b3f556,false,55.78,98.18,55.78,62.12,54;0;0;0,words,10,-1,0,11.62,0,0,false,false,english,,normal,false,false,false,,1779776016000
6a1539f9655b2abc62b3f480,false,48.57,96.12,48.57,57.7,122;0;0;0,words,25,-1,0,30.14,0,0,false,false,english,,normal,false,false,false,,1779775993000
6a144560655b2abc62ac7bf3,false,51.25,96.36,51.25,58.41,53;0;0;0,words,10,-1,0,12.41,0,0,false,false,english,,normal,false,false,false,,1779713376000
